PROBATION_AREA_DESCRIPTION,PAR_Trim,NOMS_REGION_DESCRIPTION,prob_area,NPS_Division,CRC_Area,NPS_CRC_NAME,SUP_BODY
Avon & Somerset,Avon & Somerset,South West,Avon & Somerset                                                          ,South West,,South West,a. Probation Trust
"PS - Barking, Dagenham & Havering","PS - Barking, Dagenham & Havering",PS-London,"Barking, Dagenham & Havering",London,,London,b. PS
PS - Barnet,PS - Barnet,PS-London,Barnet,London,,London,b. PS
PS - Barnsley,PS - Barnsley,PS-Yorkshire and The Humber,Barnsley,Yorkshire and The Humber,,Yorkshire and The Humber,b. PS
PS - Bath and North Somerset,PS - Bath and North Somerset,PS-South West,Bath and North Somerset,South West,,South West,b. PS
PS - Bedfordshire,PS - Bedfordshire,PS-East of England,Bedfordshire,East of England,,East of England,b. PS
Bedfordshire,Bedfordshire,East of England,Bedfordshire                                                             ,South East & Eastern,,East of England,a. Probation Trust
PS - Bexley,PS - Bexley,PS-London,Bexley,London,,London,b. PS
PS - Birmingham Central and South,PS - Birmingham Central and South,PS-West Midlands,Birmingham Central and South,West Midlands,,West Midlands,b. PS
PS - Birmingham North and East,PS - Birmingham North and East,PS-West Midlands,Birmingham North and East,West Midlands,,West Midlands,b. PS
PS - Blackburn and Darwen,PS - Blackburn and Darwen,PS-North West,Blackburn and Darwen,North West,,North West,b. PS
PS - Blackpool,PS - Blackpool,PS-North West,Blackpool,North West,,North West,b. PS
PS - Bolton,PS - Bolton,PS-Greater Manchester,Bolton,Greater Manchester,,Greater Manchester,b. PS
PS - Bradford,PS - Bradford,PS-Yorkshire and The Humber,Bradford,Yorkshire and The Humber,,Yorkshire and The Humber,b. PS
PS - Brent,PS - Brent,PS-London,Brent,London,,London,b. PS
PS - Brighton and East Sussex,PS - Brighton and East Sussex,PS-Kent Surrey Sussex,Brighton and East Sussex,Kent Surrey Sussex,,Kent Surrey Sussex,b. PS
PS - Bristol and South Gloucestershire,PS - Bristol and South Gloucestershire,PS-South West,Bristol and South Gloucestershire,South West,,South West,b. PS
PS - Bromley,PS - Bromley,PS-London,Bromley,London,,London,b. PS
PS - Buckinghamshire & M Keynes,PS - Buckinghamshire & M Keynes,PS-South Central,Buckinghamshire & M Keynes,South Central,,South Central,b. PS
PS - Burnley,PS - Burnley,PS-North West,Burnley,North West,,North West,b. PS
PS - Bury,PS - Bury,PS-Greater Manchester,Bury,Greater Manchester,,Greater Manchester,b. PS
PS - Calderdale,PS - Calderdale,PS-Yorkshire and The Humber,Calderdale,Yorkshire and The Humber,,Yorkshire and The Humber,b. PS
Cambridgeshire,Cambridgeshire,East of England,Cambridgeshire                                                           ,South East & Eastern,,East of England,a. Probation Trust
PS - Cambridgeshire and Peterborough,PS - Cambridgeshire and Peterborough,PS-East of England,Cambridgeshire and Peterborough,East of England,,East of England,b. PS
PS - Camden & Islington,PS - Camden & Islington,PS-London,Camden & Islington,London,,London,b. PS
PS - Cardiff and Vale,PS - Cardiff and Vale,PS-Wales,Cardiff and Vale,Wales,,Wales,b. PS
Central Audit Team,Central Audit Team,Not Specified,Central Audit Team,Central Audit Team,,Unassigned,b. PS
Cheshire,Cheshire,North West,Cheshire                                                                 ,North West,,North West,a. Probation Trust
PS - Chester,PS - Chester,PS-North West,Chester,North West,,North West,b. PS
PS - Chorley,PS - Chorley,PS-North West,Chorley,North West,,North West,b. PS
Teesside,Teesside,North East,Cleveland/Teesside,North East,,North West,a. Probation Trust
PS - Cornwall and Isles of Scilly,PS - Cornwall and Isles of Scilly,PS-South West,Cornwall and Isles of Scilly,South West,,South West,b. PS
PS - Coventry,PS - Coventry,PS-West Midlands,Coventry,West Midlands,,West Midlands,b. PS
"CRC - Beds, Northants, Cambs & Herts","CRC - Beds, Northants, Cambs & Herts",CRC,"CRC - Beds, Northants, Cambs & Herts",South East & Eastern,"Bedforshire, Northamptonshire, Cambridgeshire & Hertfordshire","Bedforshire, Northamptonshire, Cambridgeshire & Hertfordshire",c. CRC
"CRC - Bristol, Gloucestershire, Somerset & Wilts","CRC - Bristol, Gloucestershire, Somerset & Wilts",CRC,"CRC - Bristol, Gloucestershire, Somerset & Wilts",South West,"Bristol, Gloucestershire, Somerset & Wiltshire","Bristol, Gloucestershire, Somerset & Wiltshire",c. CRC
CRC - Cheshire & Greater Manchester,CRC - Cheshire & Greater Manchester,CRC,CRC - Cheshire & Greater Manchester,North West,Cheshire & Greater Manchester,Cheshire & Greater Manchester,c. CRC
CRC - Cumbria & Lancashire,CRC - Cumbria & Lancashire,CRC,CRC - Cumbria & Lancashire,North West,Cumbria & Lancashire,Cumbria & Lancashire,c. CRC
"CRC - Derbys, Leics, Notts & Rutland","CRC - Derbys, Leics, Notts & Rutland",CRC,"CRC - Derbys, Leics, Notts & Rutland",Midlands,"Derbyshire, Leicestershire, Nottinghamshire & Rutland","Derbyshire, Leicestershire, Nottinghamshire & Rutland",c. CRC
"CRC - Dorset, Devon & Cornwall","CRC - Dorset, Devon & Cornwall",CRC,"CRC - Dorset, Devon & Cornwall",South West,"Dorset, Devon & Cornwall","Dorset, Devon & Cornwall",c. CRC
CRC - Durham Tees Valley,CRC - Durham Tees Valley,CRC,CRC - Durham Tees Valley,North East,Durham Tees Valley,Durham Tees Valley,c. CRC
CRC - Essex,CRC - Essex,CRC,CRC - Essex,South East & Eastern,Essex,Essex,c. CRC
CRC - Hampshire & Isle of Wight,CRC - Hampshire & Isle of Wight,CRC,CRC - Hampshire & Isle of Wight,South West,Hampshire & Isle of Wight,Hampshire & Isle of Wight,c. CRC
"CRC - Humberside, Lincs & North Yorks","CRC - Humberside, Lincs & North Yorks",CRC,"CRC - Humberside, Lincs & North Yorks",North East,"Humberside, Lincolnshire & North Yorkshire","Humberside, Lincolnshire & North Yorkshire",c. CRC
"CRC - Kent, Surrey & Sussex","CRC - Kent, Surrey & Sussex",CRC,"CRC - Kent, Surrey & Sussex",South East & Eastern,"Kent, Surrey & Sussex","Kent, Surrey & Sussex",c. CRC
CRC - London,CRC - London,CRC,CRC - London,London,London,LondonLondon - NPS,c. CRC
CRC - Merseyside,CRC - Merseyside,CRC,CRC - Merseyside,North West,Merseyside,Merseyside,c. CRC
CRC - Norfolk & Suffolk,CRC - Norfolk & Suffolk,CRC,CRC - Norfolk & Suffolk,South East & Eastern,Norfolk & Suffolk,Norfolk & Suffolk,c. CRC
CRC - Northumbria,CRC - Northumbria,CRC,CRC - Northumbria,North East,Northumbria,Northumbria,c. CRC
CRC - South Yorkshire,CRC - South Yorkshire,CRC,CRC - South Yorkshire,North East,South Yorkshire,South Yorkshire,c. CRC
CRC - Staffordshire & West Midlands,CRC - Staffordshire & West Midlands,CRC,CRC - Staffordshire & West Midlands,Midlands,Staffordshire & West Midlands,Staffordshire & West Midlands,c. CRC
CRC - Thames Valley,CRC - Thames Valley,CRC,CRC - Thames Valley,South West,Thames Valley,Thames Valley,c. CRC
